#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 33.626221 29.0 31.0 0.2787828 1.4026437
0.002 32.157219 28.0 32.0 0.39876693 1.2651667
0.003 31.345793 28.0 32.0 0.47767804 1.5165807
0.004 31.063395 27.0 30.0 0.14097711 1.9161506
0.005 30.817412 27.0 32.0 0.26781858 1.2828176
0.006 30.485578 23.0 31.0 0.35319409 2.0959214
0.007 30.200643 28.0 32.0 0.14391312 1.9244314
0.008 30.005332 24.0 32.0 0.29873918 2.1334025
0.009 29.765623 27.0 32.0 0.21859536 1.212249
0.01 29.658578 28.0 32.0 0.17051976 1.5315766
0.02 28.557396 25.0 32.0 0.047849731 2.0480238
0.03 27.929308 25.0 32.0 0.079949767 2.3881105
0.04 27.521245 25.0 32.0 0.077415188 2.3165798
0.05 27.162837 24.0 32.0 0.075302567 2.0666448
0.06 26.906232 25.0 32.0 0.083803764 2.2162378
0.07 26.602296 22.0 32.0 0.11593658 2.9352339
0.08 26.358184 23.0 32.0 0.13061248 2.3448461
0.09 26.131742 23.0 32.0 0.26800758 2.2864039
0.1 25.969612 22.0 32.0 0.022713853 2.4968123
0.2 24.799263 22.0 32.0 0.023707095 3.0317021
0.3 24.095546 22.0 32.0 0.048957135 2.8673952
0.4 23.545575 21.0 32.0 0.01704374 3.7140306
0.5 23.112286 19.0 32.0 0.048009584 3.1763249
0.6 22.772469 20.0 32.0 0.047991561 3.3338194
0.7 22.474414 18.0 32.0 0.041933626 3.8315345
0.8 22.208519 19.0 32.0 0.084986275 3.3484682
0.9 21.969804 20.0 32.0 0.052894215 3.3874732
1.0 21.739725 17.0 32.0 0.063214437 3.3113011
2.0 20.164228 15.0 32.0 0.015849341 3.561889
3.0 19.136303 16.0 32.0 0.023117124 4.1675347
4.0 18.327631 15.0 32.0 0.019449934 4.548818
5.0 17.64507 13.0 32.0 0.015527724 4.4306337
6.0 17.060078 11.0 32.0 0.017690807 4.6019162
7.0 16.525961 13.0 32.0 0.013401567 4.4429188
8.0 16.028698 11.0 32.0 0.046709529 4.7707887
9.0 15.556887 12.0 32.0 0.0094097157 4.4580646
10.0 15.108883 12.0 32.0 0.025371034 4.6540902
11.0 14.695993 11.0 32.0 0.046663599 4.6886862
12.0 14.296637 10.0 32.0 0.020278858 4.85947
13.0 13.903496 10.0 32.0 0.072487202 4.8701063
14.0 13.51993 10.0 31.0 0.032137217 5.0045994
15.0 13.149885 10.0 32.0 0.079392274 5.346392
16.0 12.792102 9.0 31.0 0.063830154 5.1440461
17.0 12.435456 9.0 31.0 0.15098228 5.3888821
18.0 12.095827 9.0 31.0 0.09865627 5.5312841
19.0 11.762679 8.0 32.0 0.1983494 5.508935
20.0 11.439976 7.0 31.0 0.25805445 5.9076158
21.0 11.124105 7.0 31.0 0.27429357 6.6324343
22.0 10.812205 7.0 31.0 0.33246059 6.3380481
23.0 10.508455 7.0 29.0 0.31724891 5.7850508
24.0 10.20674 6.0 30.0 0.29213153 6.57991
25.0 9.9153124 7.0 30.0 0.21601517 6.5410384
26.0 9.6363489 5.0 30.0 0.63817682 6.4099297
27.0 9.3607644 4.0 28.0 0.42423198 6.4759277
28.0 9.0914514 5.0 26.0 0.94971707 6.3326991
29.0 8.8246051 5.0 27.0 1.1508989 6.8104569
30.0 8.5671808 4.0 27.0 0.93349428 6.3196495
31.0 8.3158404 4.0 26.0 1.3250319 6.5719862
32.0 8.0689352 2.0 25.0 1.6846078 6.7613093
33.0 7.8291041 2.0 25.0 0.97803345 7.7409156
34.0 7.5960119 4.0 24.0 1.5522992 6.86894
35.0 7.3657518 3.0 23.0 1.9674368 8.5413771
36.0 7.1440729 2.0 23.0 2.0030774 7.5330895
37.0 6.9257029 3.0 22.0 2.2152417 7.6745935
38.0 6.7139095 2.0 24.0 1.4979919 8.7918825
39.0 6.5067634 3.0 22.0 1.8564787 7.3741013
40.0 6.307386 2.0 21.0 2.1902687 7.7463646
41.0 6.1115485 2.0 21.0 1.5691137 7.7369956
42.0 5.9198055 2.0 20.0 2.2138858 7.6037039
43.0 5.7314307 2.0 21.0 2.5557278 7.8948097
44.0 5.5473255 2.0 20.0 2.1488392 7.9417064
45.0 5.3701164 2.0 21.0 2.5016581 8.0103868
46.0 5.1978857 2.0 19.0 2.2967224 8.7731755
47.0 5.0298736 2.0 19.0 2.5892888 9.365165
