#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 9.9715023 4.0 9.0 0.40992652 1.9583062
0.002 9.634759 5.0 10.0 0.27751306 1.9363198
0.003 9.1475729 3.0 9.0 0.37954022 1.3202194
0.004 9.0151231 3.0 8.0 0.17365011 2.6319804
0.005 8.7241408 2.0 11.0 0.23922358 2.9895595
0.006 8.5996438 4.0 8.0 0.26826617 2.391535
0.007 8.5033487 4.0 9.0 0.47431224 1.6128888
0.008 8.3929156 3.0 9.0 0.3132665 2.636404
0.009 8.2010469 3.0 9.0 0.55361396 3.0625674
0.01 8.113971 3.0 8.0 0.17977716 2.6610057
0.02 7.6046904 3.0 11.0 0.22018517 2.9530352
0.03 7.3297123 3.0 9.0 0.25098646 3.9689237
0.04 7.115193 2.0 10.0 0.009301869 4.4677992
0.05 6.9559882 3.0 10.0 0.20319609 3.8344035
0.06 6.8235154 3.0 10.0 0.065686835 3.3378517
0.07 6.7027032 2.0 10.0 0.0993281 3.11676
0.08 6.5970233 3.0 10.0 0.070191473 3.7844856
0.09 6.5107397 3.0 10.0 0.09506113 2.8438186
0.1 6.4207124 3.0 9.0 0.17519371 2.8034794
0.2 5.89285 2.0 10.0 0.071699229 4.1317128
0.3 5.5782899 2.0 10.0 0.051804275 4.094474
0.4 5.3556861 2.0 10.0 0.023224889 4.8108968
0.5 5.1857835 2.0 9.0 0.037080563 4.943883
0.6 5.0437267 2.0 11.0 0.045431377 5.5402332
0.7 4.9138972 2.0 9.0 0.065056505 4.6584133
0.8 4.8096503 2.0 10.0 0.044208651 4.0317468
0.9 4.7208533 2.0 10.0 0.050280436 4.3972369
1.0 4.6356324 2.0 10.0 0.030045342 4.3414336
2.0 4.0854753 2.0 10.0 0.012645206 6.2347723
3.0 3.7565344 2.0 10.0 0.0081275416 5.7341091
4.0 3.5210149 2.0 10.0 0.0062963496 5.9710782
5.0 3.3382287 2.0 9.0 0.02195773 6.4932823
6.0 3.1851055 2.0 10.0 0.0090376055 5.9873975
