#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 11.75099 6.0 12.0 0.053068782 2.0477461
0.002 11.175053 6.0 10.0 0.2457945 2.2350677
0.003 10.405947 3.0 10.0 0.62842449 2.9185899
0.004 10.099915 5.0 11.0 0.11228559 2.3416899
0.005 10.024044 5.0 9.0 0.47116659 1.9793295
0.006 9.9109234 5.0 9.0 0.4384561 2.7615042
0.007 9.8361054 5.0 11.0 0.29168287 1.7541513
0.008 9.6582668 4.0 9.0 0.3562367 2.3126425
0.009 9.5808551 6.0 11.0 0.4643284 2.0444884
0.01 9.5182337 6.0 11.0 0.17454223 2.5582526
0.02 8.9572135 2.0 13.0 0.040194506 4.6644996
0.03 8.5809999 3.0 12.0 0.20871941 3.7565293
0.04 8.3359782 3.0 11.0 0.12099614 3.543075
0.05 8.1556539 2.0 12.0 0.18389414 3.4821419
0.06 7.9968035 2.0 11.0 0.056144095 3.0552127
0.07 7.8747619 3.0 11.0 0.12865052 2.7431271
0.08 7.7556614 4.0 11.0 0.21192444 2.7892037
0.09 7.6623676 3.0 11.0 0.10394382 4.271519
0.1 7.5865238 2.0 11.0 0.038957104 3.9972263
0.2 6.9955105 2.0 12.0 0.059470004 5.041004
0.3 6.6634502 2.0 13.0 0.070686637 4.0381881
0.4 6.4015127 2.0 12.0 0.067365699 5.7387415
0.5 6.2066054 2.0 13.0 0.050047511 4.1079015
0.6 6.0383775 2.0 12.0 0.0037804424 4.5498051
0.7 5.9013549 2.0 12.0 0.075854552 5.0994534
0.8 5.7783445 2.0 12.0 0.073269783 5.1208643
0.9 5.6730711 2.0 12.0 0.010502435 5.1478758
1.0 5.5749594 2.0 11.0 0.027869474 5.5318918
2.0 4.9417442 2.0 12.0 0.017858758 5.677127
3.0 4.5636968 2.0 12.0 0.020476064 5.2829722
4.0 4.2856342 2.0 11.0 0.02441908 6.6313784
5.0 4.0657184 2.0 11.0 0.019439039 5.6548809
6.0 3.8856135 2.0 11.0 0.01436103 6.2651704
7.0 3.7291244 2.0 11.0 0.020377159 6.3256973
8.0 3.5889193 2.0 11.0 0.033586203 6.0549423
9.0 3.4650939 2.0 12.0 0.020194215 6.393187
10.0 3.3534472 2.0 10.0 0.013504337 5.9186791
11.0 3.2520888 2.0 10.0 0.011451612 6.2047215
12.0 3.1581001 2.0 10.0 0.041981945 5.8381232
13.0 3.0720226 2.0 10.0 0.028269544 6.1460503
14.0 2.9913641 2.0 10.0 0.041363417 7.0459367
15.0 2.9146559 2.0 10.0 0.02845042 6.731553
16.0 2.8415959 2.0 10.0 0.02494908 6.1222762
17.0 2.7734461 2.0 10.0 0.018585028 6.3097574
18.0 2.7085921 2.0 10.0 0.028485394 6.2534506
19.0 2.6462322 2.0 10.0 0.033953574 7.4279086
20.0 2.5878137 2.0 10.0 0.028440819 6.8123892
21.0 2.530733 2.0 10.0 0.0079832778 6.6624628
22.0 2.4756822 2.0 10.0 0.043475533 6.7378929
23.0 2.4229904 2.0 10.0 0.026059407 6.6072671
24.0 2.3728565 2.0 9.0 0.028067084 6.6906689
25.0 2.3245245 2.0 9.0 0.032954202 6.5702232
26.0 2.2784358 2.0 10.0 0.012190188 6.7136627
27.0 2.2334049 2.0 9.0 0.061450864 6.4559194
28.0 2.1894754 2.0 9.0 0.017079953 7.4912702
29.0 2.1470469 2.0 9.0 0.029864212 6.7793063
30.0 2.1052204 2.0 9.0 0.02379016 7.0772103
31.0 2.0650413 2.0 9.0 0.051171722 6.9354929
32.0 2.0259966 2.0 9.0 0.046956474 6.554785
33.0 1.9876575 2.0 9.0 0.019767747 6.618204
34.0 1.9505327 2.0 9.0 0.039060903 7.2646786
35.0 1.9149886 2.0 8.0 0.038292855 6.5582028
36.0 1.8808895 2.0 9.0 0.05431948 6.4937018
37.0 1.8467426 2.0 9.0 0.0023685829 7.0299956
38.0 1.8135988 2.0 9.0 0.078464721 6.8685931
39.0 1.7801242 2.0 8.0 0.025853994 7.5302975
40.0 1.7485652 2.0 8.0 0.016753249 7.2625203
41.0 1.7173116 2.0 8.0 0.028378411 6.8298673
42.0 1.686391 2.0 8.0 0.041920663 6.7260816
43.0 1.6568061 2.0 9.0 0.044748167 6.5309254
44.0 1.6275972 2.0 8.0 0.044662349 7.3013527
45.0 1.599094 2.0 8.0 0.05591679 6.9759676
46.0 1.5709592 2.0 8.0 0.10037779 7.0705442
